北京,CT,219.141.136.10
北京,CU,123.123.123.123
北京,CM,221.130.33.52
天津,CT,219.150.32.132
天津,CU,202.99.104.68
天津,CM,211.137.160.50
河北,CT,222.222.202.202
河北,CU,202.99.160.68
河北,CM,211.143.60.56
辽宁,CT,219.148.204.66
辽宁,CU,202.96.69.38
辽宁,CM,211.137.32.178
上海,CT,202.96.209.133
上海,CU,210.22.70.3
上海,CM,211.136.112.50
江苏,CT,218.2.2.2
江苏,CU,221.6.4.66
江苏,CM,221.130.13.133
浙江,CT,202.101.172.35
浙江,CU,221.12.1.227
浙江,CM,211.140.13.188
福建,CT,218.85.152.99
福建,CU,58.22.96.66
福建,CM,211.143.181.178
山东,CT,219.146.1.66
山东,CU,202.102.128.68
山东,CM,218.201.96.130
广东,CT,202.96.128.86
广东,CU,210.21.196.6
广东,CM,211.139.163.6
海南,CT,202.100.192.68
海南,CU,221.11.132.2
海南,CM,221.176.88.95
山西,CT,219.149.135.188
山西,CU,202.99.192.66
山西,CM,211.138.106.18
吉林,CT,219.149.194.55
吉林,CU,202.98.0.68
吉林,CM,211.141.16.99
黑龙江,CT,219.147.198.230
黑龙江,CU,202.97.224.69
黑龙江,CM,211.137.241.34
安徽,CT,61.132.163.68
安徽,CU,218.104.78.2
安徽,CM,211.138.180.2
河南,CT,222.88.88.88
河南,CU,202.102.224.68
河南,CM,211.138.24.66
湖北,CT,202.103.24.68
湖北,CU,218.104.111.122
湖北,CM,211.137.58.20
湖南,CT,59.51.78.211
湖南,CU,58.20.127.238
湖南,CM,211.142.210.98
内蒙古,CT,219.148.162.31
内蒙古,CU,202.99.224.68
内蒙古,CM,211.138.91.1
广西,CT,202.103.225.68
广西,CU,221.7.136.68
广西,CM,211.138.245.180
重庆,CT,61.128.192.68
重庆,CU,221.5.203.98
重庆,CM,218.201.4.3
四川,CT,61.139.2.69
四川,CU,124.161.87.155
四川,CM,211.137.82.4
贵州,CT,202.98.192.67
贵州,CU,221.13.30.242
贵州,CM,211.139.5.29
云南,CT,222.172.200.68
云南,CU,221.3.131.11
云南,CM,211.139.29.68
西藏,CT,202.98.224.70
西藏,CU,221.13.65.34
西藏,CM,211.139.73.34
陕西,CT,61.134.1.5
陕西,CU,221.11.1.67
陕西,CM,211.137.130.3
甘肃,CT,202.100.64.68
甘肃,CU,221.7.34.10
甘肃,CM,218.203.160.194
青海,CT,202.100.138.68
青海,CU,221.207.58.58
青海,CM,211.138.75.123
宁夏,CT,202.100.96.68
宁夏,CU,221.199.12.158
宁夏,CM,218.203.123.116
新疆,CT,61.128.114.167
新疆,CU,221.7.1.21
新疆,CM,218.202.152.130



