loc,ip1,ip2
黑龙江,202.97.224.68,202.97.224.69
吉林,202.98.0.68,202.98.5.68
辽宁,202.96.64.68,202.96.69.38
内蒙古,202.99.224.8,202.99.224.68
北京,202.106.195.68,202.106.46.151
北京,202.106.196.115,202.106.0.20
天津,202.99.96.68,202.99.104.68
河北,202.99.160.68,202.99.166.4
山西,202.99.192.66,202.99.192.68
河南,202.102.224.68,202.102.227.68
山东,202.102.152.3,202.102.154.3
江苏,221.6.4.66,221.6.4.67
上海,210.22.70.3,210.22.84.3
安徽,218.104.78.2,58.242.2.2
浙江,221.12.33.227,221.12.1.227
福建,58.22.96.66,218.104.128.106
江西,220.248.192.12,220.248.192.13
海南,211.97.96.65,221.11.132.2
广东,221.5.88.88,120.80.88.88
广西,221.7.128.68,221.7.136.68
云南,221.3.131.11,221.3.131.12
贵州,221.13.28.234,221.13.30.242
四川,119.6.6.6,124.161.97.238
重庆,221.5.203.98,221.7.92.98
湖北,218.104.111.114,218.104.111.12
湖南,58.20.127.170,58.20.127.238
陕西,221.11.1.67,124.89.1.129
新疆,221.7.1.20,221.7.1.21
宁夏,221.199.12.158,211.93.0.81
甘肃,221.7.34.10,221.7.34.1
西藏,221.13.65.34,202.98.224.68
青海,221.207.58.58,221.207.58.68
